"Kod";"Nazwa";"saldo migracji;ogółem;2023;[osoba]";
1429000;"Powiat sokołowski";-207;
1430000;"Powiat szydłowiecki";-112;
1432000;"Powiat warszawski zachodni";2077;
1433000;"Powiat węgrowski";-169;
1434000;"Powiat wołomiński";2043;
1435000;"Powiat wyszkowski";108;
1436000;"Powiat zwoleński";-97;
1437000;"Powiat żuromiński";-227;
1438000;"Powiat żyrardowski";76;
1461000;"Powiat m. Ostrołęka";-409;
1462000;"Powiat m. Płock";-487;
1463000;"Powiat m. Radom";-1027;
1464000;"Powiat m. Siedlce";-351;
1465000;"Powiat m. st. Warszawa";1683;
1601000;"Powiat brzeski";-142;
1602000;"Powiat głubczycki";-143;
1603000;"Powiat kędzierzyńsko-kozielski";-162;
1604000;"Powiat kluczborski";-214;
1605000;"Powiat krapkowicki";-53;
1606000;"Powiat namysłowski";24;
1607000;"Powiat nyski";-289;
1608000;"Powiat oleski";-174;
1609000;"Powiat opolski";557;
1610000;"Powiat prudnicki";-181;
1611000;"Powiat strzelecki";-80;
1661000;"Powiat m. Opole";-97;
1801000;"Powiat bieszczadzki";-84;
1802000;"Powiat brzozowski";-268;
1803000;"Powiat dębicki";-193;
1804000;"Powiat jarosławski";-341;
1805000;"Powiat jasielski";-299;
1806000;"Powiat kolbuszowski";-108;
1807000;"Powiat krośnieński";-190;
1808000;"Powiat leżajski";-211;
1809000;"Powiat lubaczowski";-249;
1810000;"Powiat łańcucki";139;
1811000;"Powiat mielecki";-233;
1812000;"Powiat niżański";-137;
1813000;"Powiat przemyski";-111;
1814000;"Powiat przeworski";-141;
1815000;"Powiat ropczycko-sędziszowski";-87;
1816000;"Powiat rzeszowski";892;
1817000;"Powiat sanocki";-253;
1818000;"Powiat stalowowolski";-253;
1819000;"Powiat strzyżowski";-152;
1820000;"Powiat tarnobrzeski";-178;
1821000;"Powiat leski";-64;
1861000;"Powiat m. Krosno";-141;
1862000;"Powiat m. Przemyśl";-353;
1863000;"Powiat m. Rzeszów";541;
1864000;"Powiat m. Tarnobrzeg";-190;
2001000;"Powiat augustowski";-199;
2002000;"Powiat białostocki";1750;
2003000;"Powiat bielski";-145;
2004000;"Powiat grajewski";-270;
2005000;"Powiat hajnowski";-165;
2006000;"Powiat kolneński";-199;
2007000;"Powiat łomżyński";27;
2008000;"Powiat moniecki";-169;
2009000;"Powiat sejneński";-47;
2010000;"Powiat siemiatycki";-189;
2011000;"Powiat sokólski";-344;
2012000;"Powiat suwalski";-57;
2013000;"Powiat wysokomazowiecki";-262;
2014000;"Powiat zambrowski";-155;
2061000;"Powiat m. Białystok";-964;
2062000;"Powiat m. Łomża";-277;
2063000;"Powiat m. Suwałki";-179;
2201000;"Powiat bytowski";-172;
2202000;"Powiat chojnicki";-139;
2203000;"Powiat człuchowski";-95;
2204000;"Powiat gdański";1504;
2205000;"Powiat kartuski";1146;
2206000;"Powiat kościerski";-70;
2207000;"Powiat kwidzyński";-185;
2208000;"Powiat lęborski";-59;
2209000;"Powiat malborski";43;
2210000;"Powiat nowodworski";-50;
2211000;"Powiat pucki";746;
2212000;"Powiat słupski";355;
2213000;"Powiat starogardzki";-75;
2214000;"Powiat tczewski";-152;
2215000;"Powiat wejherowski";1695;
2216000;"Powiat sztumski";-154;
2261000;"Powiat m. Gdańsk";1338;
2262000;"Powiat m. Gdynia";-702;
2263000;"Powiat m. Słupsk";-455;
2264000;"Powiat m. Sopot";-137;
2401000;"Powiat będziński";317;
2402000;"Powiat bielski";531;
2403000;"Powiat cieszyński";109;
2404000;"Powiat częstochowski";322;
2405000;"Powiat gliwicki";397;
2406000;"Powiat kłobucki";-48;
2407000;"Powiat lubliniecki";41;
2408000;"Powiat mikołowski";528;
2409000;"Powiat myszkowski";-39;
2410000;"Powiat pszczyński";-15;
2411000;"Powiat raciborski";-119;
2412000;"Powiat rybnicki";52;
2413000;"Powiat tarnogórski";710;
2414000;"Powiat bieruńsko-lędziński";130;
2415000;"Powiat wodzisławski";-72;
2416000;"Powiat zawierciański";-175;
2417000;"Powiat żywiecki";72;
2461000;"Powiat m. Bielsko-Biała";-365;
2462000;"Powiat m. Bytom";-773;
2463000;"Powiat m. Chorzów";-353;
2464000;"Powiat m. Częstochowa";-725;
2465000;"Powiat m. Dąbrowa Górnicza";-304;
2466000;"Powiat m. Gliwice";-206;
2467000;"Powiat m. Jastrzębie-Zdrój";-267;
2468000;"Powiat m. Jaworzno";-95;
2469000;"Powiat m. Katowice";141;
2470000;"Powiat m. Mysłowice";-70;
2471000;"Powiat m. Piekary Śląskie";8;
2472000;"Powiat m. Ruda Śląska";-322;
2473000;"Powiat m. Rybnik";-352;
2474000;"Powiat m. Siemianowice Śląskie";-59;
2475000;"Powiat m. Sosnowiec";-548;
2476000;"Powiat m. Świętochłowice";-109;
2477000;"Powiat m. Tychy";-332;
2478000;"Powiat m. Zabrze";-680;
2479000;"Powiat m. Żory";59;
2601000;"Powiat buski";-109;
2602000;"Powiat jędrzejowski";-265;
2603000;"Powiat kazimierski";-69;
2604000;"Powiat kielecki";331;
2605000;"Powiat konecki";-206;
2606000;"Powiat opatowski";-180;
2607000;"Powiat ostrowiecki";-404;
2608000;"Powiat pińczowski";-61;
2609000;"Powiat sandomierski";-242;
2610000;"Powiat skarżyski";-262;
2611000;"Powiat starachowicki";-202;
2612000;"Powiat staszowski";-243;
2613000;"Powiat włoszczowski";-115;
2661000;"Powiat m. Kielce";-739;
2801000;"Powiat bartoszycki";-234;
2802000;"Powiat braniewski";-241;
2803000;"Powiat działdowski";-271;
2804000;"Powiat elbląski";-96;
2805000;"Powiat ełcki";-51;
2806000;"Powiat giżycki";-40;
2807000;"Powiat iławski";-94;
2808000;"Powiat kętrzyński";-287;
2809000;"Powiat lidzbarski";-132;
2810000;"Powiat mrągowski";-135;
2811000;"Powiat nidzicki";-114;
2812000;"Powiat nowomiejski";-118;
2813000;"Powiat olecki";-13;
2814000;"Powiat olsztyński";958;
2815000;"Powiat ostródzki";-209;
2816000;"Powiat piski";-262;
2817000;"Powiat szczycieński";-39;
2818000;"Powiat gołdapski";-133;
2819000;"Powiat węgorzewski";-64;
2861000;"Powiat m. Elbląg";-159;
2862000;"Powiat m. Olsztyn";-469;
3001000;"Powiat chodzieski";-120;
3002000;"Powiat czarnkowsko-trzcianecki";-190;
3003000;"Powiat gnieźnieński";-60;
3004000;"Powiat gostyński";-233;
3005000;"Powiat grodziski";-40;
3006000;"Powiat jarociński";-102;
3007000;"Powiat kaliski";-155;
3008000;"Powiat kępiński";-98;
3009000;"Powiat kolski";-231;
3010000;"Powiat koniński";74;
3011000;"Powiat kościański";-46;
3012000;"Powiat krotoszyński";-186;
3013000;"Powiat leszczyński";433;
3014000;"Powiat międzychodzki";-63;
3015000;"Powiat nowotomyski";28;
3016000;"Powiat obornicki";12;
3017000;"Powiat ostrowski";-89;
3018000;"Powiat ostrzeszowski";14;
3019000;"Powiat pilski";-296;
3020000;"Powiat pleszewski";-35;
3021000;"Powiat poznański";5171;
3022000;"Powiat rawicki";-87;
3023000;"Powiat słupecki";-65;
3024000;"Powiat szamotulski";174;
3025000;"Powiat średzki";151;
3026000;"Powiat śremski";12;
3027000;"Powiat turecki";-150;
3028000;"Powiat wągrowiecki";96;
3029000;"Powiat wolsztyński";-111;
3030000;"Powiat wrzesiński";156;
3031000;"Powiat złotowski";-60;
3061000;"Powiat m. Kalisz";-204;
3062000;"Powiat m. Konin";-513;
3063000;"Powiat m. Leszno";-320;
3064000;"Powiat m. Poznań";-1367;
3201000;"Powiat białogardzki";-125;
3202000;"Powiat choszczeński";-121;
3203000;"Powiat drawski";-173;
3204000;"Powiat goleniowski";119;
3205000;"Powiat gryficki";-165;
3206000;"Powiat gryfiński";-162;
3207000;"Powiat kamieński";-57;
3208000;"Powiat kołobrzeski";138;
3209000;"Powiat koszaliński";248;
3210000;"Powiat myśliborski";-147;
3211000;"Powiat policki";1137;
3212000;"Powiat pyrzycki";-134;
3213000;"Powiat sławieński";-177;
3214000;"Powiat stargardzki";235;
3215000;"Powiat szczecinecki";-140;
3216000;"Powiat świdwiński";-106;
3217000;"Powiat wałecki";-172;
3218000;"Powiat łobeski";-149;
3261000;"Powiat m. Koszalin";-4;
3262000;"Powiat m. Szczecin";-715;
3263000;"Powiat m. Świnoujście";-129;
