"Kod";"Nazwa";"dzieci w wieku 3-5 lat przypadająca na jedną placówkę wychowania przedszkolnego;2023;[osoba]";
1418000;"Powiat piaseczyński";53,78;
1419000;"Powiat płocki";111,37;
1420000;"Powiat płoński";84,90;
1421000;"Powiat pruszkowski";50,38;
1422000;"Powiat przasnyski";84,42;
1423000;"Powiat przysuski";84,00;
1424000;"Powiat pułtuski";91,39;
1425000;"Powiat radomski";138,35;
1426000;"Powiat siedlecki";78,78;
1427000;"Powiat sierpecki";127,91;
1428000;"Powiat sochaczewski";100,27;
1429000;"Powiat sokołowski";56,27;
1430000;"Powiat szydłowiecki";84,69;
1432000;"Powiat warszawski zachodni";68,77;
1433000;"Powiat węgrowski";83,50;
1434000;"Powiat wołomiński";68,56;
1435000;"Powiat wyszkowski";82,59;
1436000;"Powiat zwoleński";146,71;
1437000;"Powiat żuromiński";78,31;
1438000;"Powiat żyrardowski";86,92;
1461000;"Powiat m. Ostrołęka";49,04;
1462000;"Powiat m. Płock";76,00;
1463000;"Powiat m. Radom";85,53;
1464000;"Powiat m. Siedlce";56,84;
1465000;"Powiat m. st. Warszawa";59,05;
1601000;"Powiat brzeski";71,69;
1602000;"Powiat głubczycki";85,50;
1603000;"Powiat kędzierzyńsko-kozielski";50,52;
1604000;"Powiat kluczborski";76,70;
1605000;"Powiat krapkowicki";78,95;
1606000;"Powiat namysłowski";68,95;
1607000;"Powiat nyski";54,40;
1608000;"Powiat oleski";64,33;
1609000;"Powiat opolski";52,97;
1610000;"Powiat prudnicki";84,59;
1611000;"Powiat strzelecki";65,06;
1661000;"Powiat m. Opole";57,45;
1801000;"Powiat bieszczadzki";183,67;
1802000;"Powiat brzozowski";98,00;
1803000;"Powiat dębicki";100,37;
1804000;"Powiat jarosławski";89,31;
1805000;"Powiat jasielski";61,40;
1806000;"Powiat kolbuszowski";61,84;
1807000;"Powiat krośnieński";87,76;
1808000;"Powiat leżajski";114,76;
1809000;"Powiat lubaczowski";56,96;
1810000;"Powiat łańcucki";65,52;
1811000;"Powiat mielecki";79,02;
1812000;"Powiat niżański";104,59;
1813000;"Powiat przemyski";64,91;
1814000;"Powiat przeworski";90,08;
1815000;"Powiat ropczycko-sędziszowski";111,25;
1816000;"Powiat rzeszowski";83,52;
1817000;"Powiat sanocki";72,42;
1818000;"Powiat stalowowolski";67,00;
1819000;"Powiat strzyżowski";79,73;
1820000;"Powiat tarnobrzeski";67,32;
