"Kod";"Nazwa";"ludność w tysiącach;2023;[tys. osób]";
1419000;"Powiat płocki";109,53;
1420000;"Powiat płoński";84,01;
1421000;"Powiat pruszkowski";179,67;
1422000;"Powiat przasnyski";49,04;
1423000;"Powiat przysuski";38,62;
1424000;"Powiat pułtuski";50,31;
1425000;"Powiat radomski";151,33;
1426000;"Powiat siedlecki";80,44;
1427000;"Powiat sierpecki";48,26;
1428000;"Powiat sochaczewski";83,17;
1429000;"Powiat sokołowski";50,06;
1430000;"Powiat szydłowiecki";37,50;
1432000;"Powiat warszawski zachodni";135,22;
1433000;"Powiat węgrowski";61,91;
1434000;"Powiat wołomiński";275,87;
1435000;"Powiat wyszkowski";73,44;
1436000;"Powiat zwoleński";34,29;
1437000;"Powiat żuromiński";35,49;
1438000;"Powiat żyrardowski";75,15;
1461000;"Powiat m. Ostrołęka";48,23;
1462000;"Powiat m. Płock";111,19;
1463000;"Powiat m. Radom";196,01;
1464000;"Powiat m. Siedlce";75,30;
1465000;"Powiat m. st. Warszawa";1861,60;
1601000;"Powiat brzeski";86,15;
1602000;"Powiat głubczycki";42,61;
1603000;"Powiat kędzierzyńsko-kozielski";86,16;
1604000;"Powiat kluczborski";61,24;
1605000;"Powiat krapkowicki";59,65;
1606000;"Powiat namysłowski";42,03;
1607000;"Powiat nyski";127,99;
1608000;"Powiat oleski";61,28;
1609000;"Powiat opolski";120,84;
1610000;"Powiat prudnicki";51,44;
1611000;"Powiat strzelecki";71,26;
1661000;"Powiat m. Opole";126,08;
1801000;"Powiat bieszczadzki";20,60;
1802000;"Powiat brzozowski";63,20;
1803000;"Powiat dębicki";132,62;
1804000;"Powiat jarosławski";115,87;
1805000;"Powiat jasielski";108,82;
1806000;"Powiat kolbuszowski";61,16;
1807000;"Powiat krośnieński";108,66;
1808000;"Powiat leżajski";66,70;
1809000;"Powiat lubaczowski";52,57;
1810000;"Powiat łańcucki";80,84;
1811000;"Powiat mielecki";132,98;
1812000;"Powiat niżański";63,73;
1813000;"Powiat przemyski";71,13;
1814000;"Powiat przeworski";75,74;
1815000;"Powiat ropczycko-sędziszowski";74,03;
1816000;"Powiat rzeszowski";175,78;
1817000;"Powiat sanocki";89,74;
1818000;"Powiat stalowowolski";100,89;
1819000;"Powiat strzyżowski";59,20;
1820000;"Powiat tarnobrzeski";50,94;
1821000;"Powiat leski";25,40;
1861000;"Powiat m. Krosno";44,06;
1862000;"Powiat m. Przemyśl";56,05;
1863000;"Powiat m. Rzeszów";197,27;
1864000;"Powiat m. Tarnobrzeg";43,71;
2001000;"Powiat augustowski";54,45;
2002000;"Powiat białostocki";157,90;
2003000;"Powiat bielski";50,60;
2004000;"Powiat grajewski";44,22;
2005000;"Powiat hajnowski";38,82;
2006000;"Powiat kolneński";35,70;
2007000;"Powiat łomżyński";49,61;
2008000;"Powiat moniecki";37,36;
2009000;"Powiat sejneński";18,65;
2010000;"Powiat siemiatycki";40,64;
2011000;"Powiat sokólski";61,25;
2012000;"Powiat suwalski";34,64;
2013000;"Powiat wysokomazowiecki";53,41;
2014000;"Powiat zambrowski";41,37;
2061000;"Powiat m. Białystok";291,69;
